Borough_BORO,ZIPCODE,CUISINE,ACT.CODE,VIOLCODE,SCORE,CURRENTGRADE_current
Borough_Bronx,10462,American,D_action,04L,12,A_current
Borough_Bronx,10462,American,D_action,08A,12,A_current
Borough_Queens,11360,Pizza/Italian,U_action,04C,24,Z_current
Borough_Queens,11360,Pizza/Italian,U_action,02G,24,Z_current
Borough_Manhattan,10017,American,P_action,02B,19,A_current
Borough_Queens,11360,Pizza/Italian,U_action,02B,24,Z_current
Borough_Manhattan,10017,American,P_action,06C,19,A_current
Borough_Manhattan,10017,American,P_action,10B,19,A_current
Borough_Manhattan,10017,American,P_action,06D,19,A_current
Borough_Queens,11364,Pizza/Italian,P_action,04M,14,A_current
Borough_Manhattan,10038,Irish,D_action,10H,8,A_current
Borough_Manhattan,10038,Irish,D_action,99B,8,A_current
Borough_Queens,11364,Pizza/Italian,P_action,09A,14,A_current
Borough_Queens,11364,Pizza/Italian,P_action,04L,14,A_current
Borough_Manhattan,10038,Irish,D_action,09C,8,A_current
Borough_Manhattan,10003,Indian,F_action,10F,29,B_current
Borough_Manhattan,10003,Indian,F_action,08A,29,B_current
Borough_Manhattan,10003,Indian,F_action,02G,29,B_current
Borough_Brooklyn,11222,Pizza/Italian,D_action,10D,8,A_current
Borough_Manhattan,10003,Indian,F_action,04M,29,B_current
Borough_Manhattan,10003,Indian,F_action,04O,29,B_current
Borough_Manhattan,10016,Italian,F_action,06E,32,C_current
Borough_Brooklyn,11222,Pizza/Italian,D_action,06E,8,A_current
Borough_Manhattan,10016,Italian,F_action,04L,32,C_current
Borough_Manhattan,10016,Italian,F_action,04N,32,C_current
Borough_Manhattan,10016,Italian,F_action,02G,32,C_current
Borough_Manhattan,10016,Italian,F_action,99B,32,C_current
Borough_Manhattan,10016,Italian,F_action,08A,32,C_current
Borough_Brooklyn,11206,American,P_action,02G,14,B_current
Borough_Brooklyn,11206,American,P_action,06C,14,B_current
Borough_Brooklyn,11206,American,P_action,99B,14,B_current
Borough_Manhattan,10016,Irish,P_action,10F,27,B_current
Borough_Manhattan,10010,Italian,U_action,06A,26,Z_current
Borough_Manhattan,10010,Italian,U_action,04N,26,Z_current
Borough_Manhattan,10010,Italian,U_action,04M,26,Z_current
Borough_Manhattan,10010,Italian,U_action,08A,26,Z_current
Borough_Brooklyn,11201,Italian,P_action,04N,21,B_current
Borough_Brooklyn,11201,Italian,P_action,08A,21,B_current
Borough_Manhattan,10010,Italian,U_action,10B,26,Z_current
Borough_Manhattan,10016,Irish,P_action,02G,27,B_current
Borough_Manhattan,10016,Irish,P_action,04H,27,B_current
Borough_Manhattan,10016,Irish,P_action,99B,27,B_current
Borough_Manhattan,10031,American,F_action,10B,32,B_current
Borough_Brooklyn,11201,Italian,P_action,10F,21,B_current
Borough_Manhattan,10031,American,F_action,04L,32,B_current
Borough_Manhattan,10031,American,F_action,10F,32,B_current
Borough_Brooklyn,11201,Italian,P_action,02G,21,B_current
Borough_Manhattan,10031,American,F_action,02G,32,B_current
Borough_Manhattan,10031,American,F_action,04J,32,B_current
Borough_Manhattan,10001,American,U_action,06D,22,Z_current
Borough_Manhattan,10001,American,U_action,10F,22,Z_current
Borough_Bronx,10467,Chicken,U_action,06C,17,Z_current
Borough_Manhattan,10003,American,D_action,10F,9,A_current
Borough_Manhattan,10003,American,D_action,04C,9,A_current
Borough_Manhattan,10001,American,U_action,02G,22,Z_current
Borough_Manhattan,10001,American,U_action,06A,22,Z_current
Borough_Manhattan,10014,Armenian,F_action,04H,35,A_current
Borough_Bronx,10467,Chicken,U_action,08A,17,Z_current
Borough_Bronx,10467,Chicken,U_action,10B,17,Z_current
Borough_Bronx,10467,Chicken,U_action,04M,17,Z_current
Borough_Manhattan,10014,Armenian,F_action,06D,35,A_current
Borough_Manhattan,10014,Armenian,F_action,10B,35,A_current
Borough_Manhattan,10014,Armenian,F_action,08A,35,A_current
Borough_Manhattan,10014,Armenian,F_action,04M,35,A_current
Borough_Manhattan,10014,Armenian,F_action,06E,35,A_current
Borough_Brooklyn,11222,Italian,U_action,06A,18,Z_current
Borough_Manhattan,10014,Armenian,F_action,04L,35,A_current
Borough_Brooklyn,11228,Pizza/Italian,F_action,04M,49,A_current
Borough_Brooklyn,11228,Pizza/Italian,F_action,10A,49,A_current
Borough_Brooklyn,11228,Pizza/Italian,F_action,04C,49,A_current
Borough_Bronx,10472,Chicken,D_action,02B,12,A_current
Borough_Brooklyn,11222,Italian,U_action,04L,18,Z_current
Borough_Bronx,10472,Chicken,D_action,06E,12,A_current
Borough_Manhattan,10021,Italian,D_action,02G,9,A_current
Borough_Brooklyn,11228,Pizza/Italian,F_action,04L,49,A_current
Borough_Brooklyn,11228,Pizza/Italian,F_action,05F,49,A_current
Borough_Manhattan,10021,Italian,D_action,99B,9,A_current
Borough_Brooklyn,11228,Pizza/Italian,F_action,02G,49,A_current
Borough_Brooklyn,11228,Pizza/Italian,F_action,05H,49,A_current
Borough_Manhattan,10032,Pizza,P_action,08A,15,C_current
Borough_Manhattan,10032,Pizza,P_action,10F,15,C_current
Borough_Manhattan,10032,Pizza,P_action,04L,15,C_current
Borough_Queens,11417,American,D_action,08C,5,A_current
Borough_Queens,11417,American,D_action,10B,5,A_current
Borough_Queens,11366,Pizza,D_action,10F,7,A_current
Borough_Queens,11366,Pizza,D_action,06B,7,A_current
Borough_Manhattan,10035,Chinese,F_action,04L,39,A_current
Borough_Manhattan,10035,Chinese,F_action,08A,39,A_current
Borough_Manhattan,10016,Bangladeshi,P_action,02G,23,Z_current
Borough_Manhattan,10016,Bangladeshi,P_action,06E,23,Z_current
Borough_Manhattan,10035,Chinese,F_action,02B,39,A_current
Borough_Manhattan,10016,Bangladeshi,P_action,06A,23,Z_current
Borough_Manhattan,10016,Bangladeshi,P_action,10F,23,Z_current
Borough_Manhattan,10035,Chinese,F_action,02G,39,A_current
Borough_Manhattan,10035,Chinese,F_action,04A,39,A_current
Borough_Manhattan,10035,Chinese,F_action,08C,39,A_current
Borough_Manhattan,10038,Chinese,P_action,04K,27,B_current
Borough_Manhattan,10038,Chinese,P_action,08A,27,B_current
Borough_Manhattan,10036,---,O_action,10F,4,A_current
Borough_Manhattan,10038,Chinese,P_action,02B,27,B_current
Borough_Brooklyn,11218,Pizza,P_action,02G,22,A_current
Borough_Brooklyn,11218,Pizza,P_action,04N,22,A_current
Borough_Brooklyn,11218,Pizza,P_action,08A,22,A_current
Borough_Brooklyn,11218,Pizza,P_action,10E,22,A_current
Borough_Brooklyn,11201,American,D_action,10F,12,A_current
Borough_Brooklyn,11201,American,D_action,02G,12,A_current
Borough_Brooklyn,11220,Bakery,D_action,08A,13,A_current
Borough_Bronx,10470,Irish,U_action,06C,23,Z_current
Borough_Bronx,10470,Irish,U_action,10E,23,Z_current
Borough_Bronx,10470,Irish,U_action,10F,23,Z_current
Borough_Bronx,10470,Irish,U_action,02G,23,Z_current
Borough_Bronx,10470,Irish,U_action,06D,23,Z_current
Borough_Bronx,10470,Irish,U_action,09A,23,Z_current
Borough_Manhattan,10002,Indian,W_action,09A,15,A_current
Borough_Queens,11369,Chinese,P_action,06C,24,A_current
Borough_Brooklyn,11220,Bakery,D_action,04L,13,A_current
Borough_Queens,11369,Chinese,P_action,04L,24,A_current
Borough_Queens,11369,Chinese,P_action,08A,24,A_current
Borough_Queens,11362,Delicatessen,P_action,06D,26,A_current
Borough_Manhattan,10002,Indian,W_action,10F,15,A_current
Borough_Manhattan,10002,Indian,W_action,08A,15,A_current
Borough_Queens,11411,Caribbean,F_action,08A,28,A_current
Borough_Queens,11411,Caribbean,F_action,08B,28,A_current
Borough_Queens,11411,Caribbean,F_action,02B,28,A_current
Borough_Queens,11411,Caribbean,F_action,04N,28,A_current
Borough_Queens,11411,Caribbean,F_action,10B,28,A_current
Borough_Manhattan,10002,Indian,W_action,04K,15,A_current
Borough_Manhattan,10002,Indian,W_action,10B,15,A_current
Borough_Queens,11362,Delicatessen,P_action,02G,26,A_current
Borough_Manhattan,10033,Sandwiches,P_action,02G,21,B_current
Borough_Manhattan,10033,Sandwiches,P_action,08A,21,B_current
Borough_Queens,11362,Delicatessen,P_action,10D,26,A_current
Borough_Manhattan,10033,Sandwiches,P_action,04N,21,B_current
Borough_Manhattan,10033,Sandwiches,P_action,99B,21,B_current
Borough_Manhattan,10031,Spanish,U_action,04L,24,Z_current
Borough_Manhattan,10031,Spanish,U_action,06C,24,Z_current
Borough_Manhattan,10031,Spanish,U_action,99B,24,Z_current
Borough_Brooklyn,11201,American,F_action,04N,36,Z_current
Borough_Brooklyn,11201,American,F_action,08A,36,Z_current
Borough_Queens,11430,American,F_action,02G,30,B_current
Borough_Queens,11430,American,F_action,99B,30,B_current
Borough_Manhattan,10010,American,U_action,04N,23,Z_current
Borough_Manhattan,10010,American,U_action,08A,23,Z_current
Borough_Manhattan,10031,Spanish,U_action,04M,24,Z_current
Borough_Manhattan,10031,Spanish,U_action,08C,24,Z_current
Borough_Manhattan,10019,---,F_action,04L,36,B_current
Borough_Manhattan,10031,Spanish,U_action,08A,24,Z_current
Borough_Manhattan,10031,Spanish,U_action,10E,24,Z_current
Borough_Manhattan,10010,American,U_action,02G,23,Z_current
Borough_Manhattan,10010,American,U_action,99B,23,Z_current
Borough_Brooklyn,11218,American,F_action,02G,34,A_current
Borough_Brooklyn,11218,American,F_action,99B,34,A_current
Borough_Manhattan,10019,---,F_action,02G,36,B_current
Borough_Manhattan,10019,---,F_action,08A,36,B_current
Borough_Manhattan,10003,Mexican,F_action,04N,28,A_current
Borough_Brooklyn,11201,American,F_action,05D,36,Z_current
Borough_Brooklyn,11201,American,F_action,10E,36,Z_current
Borough_Brooklyn,11201,American,F_action,10B,36,Z_current
Borough_Brooklyn,11201,American,F_action,06D,36,Z_current
